,id,latitude,longitude,time,magnitude,is_background,gen_0_parent,generation,datetime,index
0,1,19.403734113365832,-155.06708082777186,1959-01-20 12:34:33.896210000,2.9,True,1,0,1959-01-20 12:34:33.896210000,1
1,2,19.181027186622146,-155.6661011956325,1959-01-23 08:31:00.216613000,2.5,True,2,0,1959-01-23 08:31:00.216613000,2
2,3,19.27095404103209,-155.5982524421262,1959-01-24 10:09:09.458131000,2.5,True,3,0,1959-01-24 10:09:09.458131000,3
3,4,19.89359030494026,-155.84435438907252,1959-02-06 18:14:33.480842000,2.5,True,4,0,1959-02-06 18:14:33.480842000,4
4,5,19.0130730423396,-155.6290812839291,1959-02-15 11:59:10.759888000,3.2,True,5,0,1959-02-15 11:59:10.759888000,5
5,6,19.610904405467004,-155.16579894587784,1959-02-24 11:17:44.798390000,3.9,True,6,0,1959-02-24 11:17:44.798390000,6
6,1348,19.626451065561536,-155.17186926388203,1959-02-24 11:20:54.387936918,3.4,False,6,1,1959-02-24 11:20:54.387936918,7
7,1349,19.61717939470895,-155.16815278399255,1959-02-24 11:24:49.988026000,2.7,False,6,1,1959-02-24 11:24:49.988026000,8
8,2276,19.63950562956544,-155.17939934683224,1959-02-24 11:24:54.834236050,2.6,False,6,2,1959-02-24 11:24:54.834236050,9
9,2277,19.630194269639688,-155.16887223156442,1959-02-24 17:48:42.276770240,3.1,False,6,2,1959-02-24 17:48:42.276770240,10
10,7,19.373490239991888,-155.67702564938014,1959-02-28 00:12:17.150874000,3.4,True,7,0,1959-02-28 00:12:17.150874000,11
11,8,19.373956432606285,-154.98457387321002,1959-03-02 03:40:03.869059000,2.6,True,8,0,1959-03-02 03:40:03.869059000,12
12,9,19.10367040229985,-155.749765157032,1959-03-06 21:39:39.734402000,2.5,True,9,0,1959-03-06 21:39:39.734402000,13
13,10,20.004305680806286,-155.41833244006304,1959-03-17 21:00:57.994886000,3.2,True,10,0,1959-03-17 21:00:57.994886000,14
14,11,19.841555264102148,-155.51387256204688,1959-03-21 12:22:31.359247000,3.1,True,11,0,1959-03-21 12:22:31.359247000,15
15,12,19.321236903770732,-155.8604235448355,1959-03-21 16:50:49.542331000,3.1,True,12,0,1959-03-21 16:50:49.542331000,16
16,1351,19.321734092921563,-155.85897696269836,1959-03-21 17:17:27.052908309,2.9,False,12,1,1959-03-21 17:17:27.052908309,17
17,13,19.3345100000796,-155.39826243435311,1959-04-04 10:04:50.441119000,2.7,True,13,0,1959-04-04 10:04:50.441119000,18
18,14,19.21594243095915,-155.8616607709631,1959-04-09 06:32:17.258606000,2.8,True,14,0,1959-04-09 06:32:17.258606000,19
19,15,19.585005013918227,-155.18647502077798,1959-04-14 11:16:12.981114000,3.5,True,15,0,1959-04-14 11:16:12.981114000,20
20,1352,19.573088882359016,-155.18672818487678,1959-04-14 11:40:54.573024787,2.5,False,15,1,1959-04-14 11:40:54.573024787,21
