year,month,day,hour,minute,sec,ID,lat,lon,depth,mag
1959.0,1.0,5.0,11.0,33.0,59.16,0.0,19.55763559777761,-155.81153414976114,15.648013394337765,2.9
1959.0,1.0,16.0,10.0,7.0,26.49,1.0,19.61510968533724,-154.9656883876014,30.137408724247,3.0
1959.0,1.0,24.0,18.0,32.0,1.34,2.0,19.45377604301981,-155.35063029527907,5.799859142160041,3.0
1959.0,2.0,2.0,0.0,11.0,34.85,3.0,19.379155992333533,-155.7973961874149,20.93641773178563,2.5
1959.0,2.0,4.0,1.0,42.0,39.55,4.0,19.349557949149244,-155.7869581779394,19.299129645015945,2.7
1959.0,2.0,14.0,10.0,7.0,56.51,5.0,19.58767414793348,-155.61853750233587,38.17853907880795,3.3
1959.0,2.0,26.0,22.0,15.0,8.77,6.0,19.08292096904138,-155.62961347463752,20.789449072956277,4.6
1959.0,3.0,5.0,2.0,58.0,11.72,7.0,19.23374149562244,-155.6945716162064,21.641479136345623,2.8
1959.0,3.0,17.0,12.0,28.0,43.47,8.0,19.58286529505764,-155.5932333435971,36.520863169979876,2.7
1959.0,3.0,23.0,15.0,46.0,56.9,9.0,20.053202406851497,-155.76067780134775,36.652896166855555,2.8
1959.0,3.0,26.0,10.0,25.0,10.69,10.0,19.48197156989416,-154.965751011447,4.659340163369958,2.5
1959.0,3.0,28.0,18.0,8.0,45.21,11.0,19.77582145132124,-155.5011496048485,39.68325012129813,3.3
1959.0,4.0,5.0,23.0,21.0,4.54,12.0,19.24127521300764,-155.71521154282507,32.67225501426378,2.5
1959.0,4.0,23.0,4.0,1.0,17.0,13.0,19.50019218518102,-155.4629955927216,34.28572744302236,2.7
1959.0,4.0,25.0,9.0,50.0,30.52,14.0,19.705622629481905,-155.85053474993867,33.61043140078721,2.5
1959.0,5.0,4.0,5.0,51.0,44.07,15.0,19.70799048622249,-155.08398914476714,36.070548448812566,4.0
1959.0,5.0,4.0,8.0,55.0,59.93,16.0,19.405374307605648,-155.7896938429632,16.50746250432676,2.5
1959.0,5.0,10.0,22.0,19.0,46.6,17.0,19.642076237528308,-155.3870528809722,44.415814848636586,2.7
1959.0,5.0,23.0,23.0,48.0,13.46,18.0,19.25498724954824,-155.44624322808252,17.334981081873295,3.3
1959.0,6.0,1.0,3.0,28.0,19.15,19.0,19.6630860529256,-155.0562688159453,5.138653252212004,2.6
1959.0,6.0,2.0,13.0,38.0,30.71,20.0,19.39911361297974,-155.08860549059617,2.634423644235932,3.3
1959.0,6.0,3.0,23.0,54.0,8.18,21.0,19.15205519409824,-155.69316664399997,17.008685607475538,2.5
1959.0,6.0,12.0,19.0,21.0,8.97,22.0,20.1796423626928,-155.69370874368587,29.1584106678407,3.3
1959.0,6.0,17.0,7.0,3.0,2.32,23.0,19.743758154047374,-155.26852938860137,22.15424380204016,2.5
